audio,multi_emotion
flagship_a_44154.wav,슬픔 미안함 안타까움 괴로움 후회
flagship_a_43179.wav,중립
flagship_a_35541.wav,짜증남 분노
drama_a_31382.wav,안타까움 당황
flagship_a_34010.wav,짜증남
flagship_a_17122.wav,행복 기쁨 즐거움 만족
drama_a_12134.wav,싫음 미워함 짜증남
drama_a_20819.wav,슬픔 안타까움 괴로움
flagship_a_28934.wav,싫음 짜증남 분노
flagship_a_16237.wav,행복 기쁨 즐거움 만족
flagship_a_38284.wav,싫음 짜증남
drama_a_48884.wav,슬픔 안타까움 괴로움
drama_a_59999.wav,당황 놀람
drama_a_40019.wav,슬픔 안타까움 괴로움
flagship_a_43596.wav,싫음 짜증남 분노
flagship_a_05415.wav,싫음 짜증남
flagship_a_26337.wav,당황 놀람
studio_a_02807.wav,당황 놀람
drama_a_44332.wav,슬픔 안타까움 싫음 짜증남
drama_a_11017.wav,행복 기쁨 즐거움 만족
flagship_a_09246.wav,당황 놀람
drama_a_39577.wav,중립
drama_a_47809.wav,슬픔 괴로움
flagship_a_44831.wav,싫음 짜증남 분노
drama_a_25519.wav,싫음 짜증남 분노
drama_a_11689.wav,싫음 짜증남 분노
flagship_a_29209.wav,싫음 짜증남 분노
studio_a_05497.wav,행복 만족
drama_a_61009.wav,당황 놀람
drama_a_20749.wav,싫음 짜증남 분노
drama_a_18082.wav,슬픔 안타까움 괴로움
flagship_a_36176.wav,짜증남 분노
drama_a_62569.wav,당황 놀람
drama_a_29284.wav,중립
drama_a_57484.wav,싫음 짜증남 분노
drama_a_44539.wav,싫음 짜증남 분노
flagship_a_00445.wav,싫음 짜증남 분노
drama_a_18650.wav,미안함 안타까움 억울함
flagship_a_05058.wav,불안 당황 싫음
drama_a_34822.wav,싫음 짜증남 분노
drama_a_49972.wav,싫음 짜증남
flagship_a_35320.wav,슬픔
drama_a_36816.wav,기쁨 즐거움
flagship_a_42405.wav,놀람
drama_a_12561.wav,슬픔
studio_a_02440.wav,중립
flagship_a_36596.wav,당황 싫음
flagship_a_19650.wav,중립
flagship_a_14654.wav,행복 즐거움
flagship_a_19304.wav,무관심
drama_a_26601.wav,당황
flagship_a_29795.wav,미안함 안타까움 후회
flagship_a_43469.wav,놀람
flagship_a_18621.wav,싫음 짜증남 분노 놀람
drama_a_51261.wav,두려움 불안 당황
drama_a_19461.wav,미워함
flagship_a_35867.wav,싫음 미워함 짜증남
drama_a_00823.wav,슬픔 싫음 분노 억울함
drama_a_49132.wav,슬픔 안타까움 싫음
drama_a_15500.wav,싫음
flagship_a_03282.wav,무관심
drama_a_53511.wav,싫음 짜증남
flagship_a_01303.wav,싫음
drama_a_01993.wav,싫음 미워함 짜증남 분노
drama_a_44483.wav,분노 억울함
studio_a_01420.wav,싫음 짜증남
flagship_a_08579.wav,싫음 짜증남
flagship_a_24861.wav,중립
flagship_a_04429.wav,싫음 지루함 미워함
drama_a_59323.wav,싫음 지루함
drama_a_11322.wav,중립 무관심
drama_a_30667.wav,분노 놀람
drama_a_13700.wav,싫음 지루함 짜증남
drama_a_24832.wav,싫음 짜증남 놀람
flagship_a_06996.wav,싫음 짜증남
drama_a_05969.wav,당황 싫음 놀람
flagship_a_03918.wav,중립
drama_a_51742.wav,미안함 안타까움 당황
flagship_a_35577.wav,중립
studio_a_02085.wav,두려움 불안 당황 놀람
drama_a_08502.wav,슬픔 안타까움 중립
drama_a_36492.wav,중립
flagship_a_13094.wav,행복 즐거움 홀가분함 만족
flagship_a_02952.wav,슬픔 안타까움 괴로움
drama_a_00111.wav,안타까움 당황
drama_a_46956.wav,싫음 짜증남
drama_a_29908.wav,슬픔 미안함 안타까움
studio_a_10344.wav,당황 싫음 짜증남
drama_a_16611.wav,싫음
flagship_a_22102.wav,싫음 짜증남
drama_a_02706.wav,행복 기쁨 즐거움 만족
flagship_a_08264.wav,중립
flagship_a_34727.wav,두려움 불안 당황
drama_a_12373.wav,자신감 설렘 만족
flagship_a_05330.wav,두려움 불안 싫음 짜증남 분노
flagship_a_21923.wav,당황 싫음 놀람
drama_a_31948.wav,슬픔 안타까움 실망 괴로움 후회 억울함
flagship_a_03649.wav,슬픔 안타까움 실망 후회 싫음
flagship_a_44795.wav,행복 기쁨 자신감 만족
studio_a_05437.wav,싫음 짜증남 분노
flagship_a_18807.wav,행복 만족
drama_a_51949.wav,당황 놀람
flagship_a_22160.wav,슬픔 미안함 실망 두려움
flagship_a_39914.wav,안타까움 괴로움 바람
drama_a_51115.wav,실망 싫음 미워함 짜증남
flagship_a_40169.wav,싫음
drama_a_61360.wav,슬픔 외로움 괴로움 두려움 불안 당황 억울함 놀람
drama_a_52597.wav,슬픔 안타까움 괴로움 불안
flagship_a_36089.wav,행복 기쁨 사랑 황홀함 감동 고마움 즐거움 설렘 만족
drama_a_04000.wav,안타까움 실망 두려움 싫음 미워함 짜증남
drama_a_50260.wav,슬픔 외로움 괴로움 후회 싫음 억울함
flagship_a_39241.wav,싫음 미워함 짜증남 분노 억울함
flagship_a_24539.wav,억울함
flagship_a_07097.wav,안타까움 실망 싫음 짜증남 분노
flagship_a_28720.wav,외로움 실망 싫음 미워함
drama_a_23740.wav,실망 싫음 미워함 짜증남
drama_a_06895.wav,슬픔 두려움 불안 당황 억울함
flagship_a_30235.wav,실망 싫음 미워함 짜증남
flagship_a_07952.wav,싫음 미워함 짜증남 분노
flagship_a_39719.wav,싫음 분노
flagship_a_15420.wav,중립
flagship_a_44696.wav,싫음 짜증남 분노
flagship_a_25097.wav,싫음 짜증남 분노
flagship_a_40196.wav,당황 놀람
drama_a_04729.wav,슬픔 괴로움
flagship_a_34313.wav,자신감
drama_a_02824.wav,당황
studio_a_01912.wav,싫음 짜증남 분노
drama_a_45859.wav,싫음 짜증남 분노
flagship_a_27753.wav,당황 놀람
drama_a_25429.wav,슬픔 괴로움
flagship_a_08621.wav,중립
flagship_a_05291.wav,중립
flagship_a_32301.wav,싫음 짜증남 분노
flagship_a_35933.wav,슬픔 괴로움
drama_a_64399.wav,당황 놀람
studio_a_05216.wav,짜증남 분노
flagship_a_31553.wav,분노 놀람
drama_a_03803.wav,행복 만족
drama_a_62633.wav,싫음
flagship_a_03149.wav,행복 기쁨 만족
drama_a_26194.wav,싫음 짜증남 분노
drama_a_10208.wav,자신감 싫음
drama_a_60239.wav,싫음 짜증남
flagship_a_20812.wav,당황 놀람
flagship_a_26202.wav,당황 놀람
drama_a_35279.wav,싫음 짜증남
flagship_a_01265.wav,중립
flagship_a_01565.wav,행복 기쁨 즐거움 만족
drama_a_15179.wav,행복 기쁨 즐거움 만족
drama_a_09989.wav,싫음 짜증남 분노
drama_a_26264.wav,싫음 짜증남
studio_a_07847.wav,싫음 짜증남 분노
flagship_a_32507.wav,싫음 짜증남
flagship_a_29470.wav,중립
flagship_a_00740.wav,싫음 짜증남 분노
flagship_a_03770.wav,당황 놀람
studio_a_00692.wav,슬픔 안타까움 괴로움 당황
flagship_a_27412.wav,두려움 불안 당황 놀람
drama_a_42784.wav,당황 놀람
drama_a_26224.wav,중립
flagship_a_19949.wav,당황 놀람
drama_a_27784.wav,싫음 짜증남 분노
drama_a_25234.wav,행복 만족
drama_a_47063.wav,싫음
drama_a_02227.wav,슬픔 후회 싫음 짜증남
drama_a_12996.wav,기쁨 사랑 즐거움
drama_a_63053.wav,슬픔
flagship_a_12015.wav,불안 당황 놀람
flagship_a_17326.wav,슬픔 억울함
studio_a_02768.wav,싫음 미워함 짜증남
drama_a_06575.wav,싫음 지루함 미워함
drama_a_13492.wav,중립
flagship_a_25686.wav,싫음 짜증남
drama_a_12283.wav,행복 기쁨 즐거움 홀가분함 만족
flagship_a_08504.wav,안타까움 실망
drama_a_54757.wav,행복 기쁨 자신감 즐거움
drama_a_52282.wav,자신감
drama_a_04087.wav,즐거움
flagship_a_25781.wav,기쁨 고마움 만족 슬픔 미안함 후회
drama_a_17713.wav,싫음 짜증남 분노 억울함
drama_a_29443.wav,당황 놀람
flagship_a_35268.wav,싫음 짜증남
drama_a_50579.wav,행복 만족
drama_a_46304.wav,당황 놀람
flagship_a_40730.wav,슬픔 안타까움 싫음
flagship_a_09500.wav,슬픔 안타까움 실망
flagship_a_11310.wav,고마움 만족
flagship_a_10079.wav,중립
flagship_a_03661.wav,중립
studio_a_06894.wav,행복 기쁨 즐거움
flagship_a_17459.wav,기쁨 즐거움
studio_a_07899.wav,싫음
studio_a_07914.wav,놀람
flagship_a_12585.wav,행복 즐거움 만족
flagship_a_26809.wav,짜증남
flagship_a_41654.wav,부러움
drama_a_05046.wav,싫음 짜증남
flagship_a_08894.wav,중립
flagship_a_27244.wav,싫음
drama_a_30306.wav,즐거움
flagship_a_06209.wav,중립
drama_a_16522.wav,중립
studio_a_05559.wav,싫음 짜증남
drama_a_42786.wav,불안 당황
flagship_a_40723.wav,실망 싫음 짜증남 놀람
flagship_a_02052.wav,중립
flagship_a_11894.wav,안타까움 실망 괴로움
flagship_a_17930.wav,불안 싫음
drama_a_04148.wav,슬픔
drama_a_26824.wav,슬픔 괴로움 불안
flagship_a_42131.wav,싫음 짜증남 분노
flagship_a_15882.wav,당황 놀람
drama_a_17404.wav,싫음 짜증남 분노
studio_a_08437.wav,행복 만족
flagship_a_09041.wav,싫음 짜증남 분노
drama_a_30079.wav,싫음 짜증남 분노
drama_a_28521.wav,실망 당황
drama_a_58737.wav,불안 당황
flagship_a_18151.wav,행복 기쁨 만족
drama_a_59856.wav,놀람
flagship_a_28401.wav,짜증남 무관심
flagship_a_20311.wav,짜증남 분노
drama_a_61223.wav,놀람
flagship_a_41426.wav,싫음 짜증남 분노
drama_a_53374.wav,싫음 짜증남 분노
flagship_a_30484.wav,불안 당황
studio_a_02917.wav,당황 놀람
flagship_a_17322.wav,싫음 짜증남 분노
drama_a_11059.wav,싫음 짜증남 분노
drama_a_07823.wav,기쁨
drama_a_38258.wav,슬픔
flagship_a_21435.wav,싫음 짜증남 분노
drama_a_58928.wav,사랑 미안함
flagship_a_11818.wav,당황
drama_a_48740.wav,당황 싫음 놀람
flagship_a_30949.wav,중립
studio_a_09967.wav,싫음 짜증남 분노
flagship_a_12810.wav,중립
studio_a_07916.wav,중립
flagship_a_13756.wav,기쁨
flagship_a_40303.wav,싫음 짜증남
drama_a_22838.wav,자신감
drama_a_44374.wav,싫음 짜증남 분노
drama_a_57353.wav,기쁨
drama_a_25073.wav,안타까움 외로움
drama_a_17811.wav,당황 놀람
flagship_a_17311.wav,놀람
flagship_a_14221.wav,놀람
studio_a_05274.wav,행복 기쁨 즐거움
flagship_a_09899.wav,당황 놀람
drama_a_40507.wav,슬픔 안타까움 괴로움
flagship_a_25805.wav,싫음 짜증남
studio_a_03639.wav,싫음 짜증남 놀람
flagship_a_28836.wav,불안 당황 놀람
studio_a_01734.wav,행복 즐거움
flagship_a_41115.wav,싫음
flagship_a_38128.wav,미워함
flagship_a_42568.wav,중립
drama_a_24998.wav,싫음 분노
flagship_a_30638.wav,중립
drama_a_35466.wav,당황 놀람
flagship_a_28283.wav,싫음
drama_a_30681.wav,싫음 미워함 분노
flagship_a_11270.wav,중립
drama_a_17624.wav,싫음 짜증남
flagship_a_26232.wav,행복 기쁨 만족
studio_a_01699.wav,싫음
drama_a_41633.wav,싫음 미워함
studio_a_09122.wav,당황 놀람
drama_a_09856.wav,중립
studio_a_02027.wav,싫음 짜증남 분노
flagship_a_36981.wav,불안 당황
flagship_a_07388.wav,중립
flagship_a_02900.wav,행복 기쁨 만족
drama_a_17189.wav,싫음 짜증남
drama_a_59594.wav,슬픔 안타까움 괴로움
drama_a_03526.wav,슬픔
flagship_a_19102.wav,싫음 짜증남
flagship_a_12427.wav,당황 놀람
drama_a_38517.wav,중립
drama_a_03291.wav,슬픔 싫음 짜증남
drama_a_31551.wav,싫음 짜증남
drama_a_05031.wav,짜증남
drama_a_44121.wav,자신감
flagship_a_38599.wav,싫음 짜증남
drama_a_20227.wav,행복 고마움 설렘 만족
drama_a_02459.wav,행복 기쁨 만족
flagship_a_00222.wav,중립
drama_a_07274.wav,행복 기쁨 즐거움 만족
flagship_a_06651.wav,당황 놀람
studio_a_04337.wav,싫음 짜증남
flagship_a_20927.wav,놀람
studio_a_05117.wav,싫음 짜증남 분노
drama_a_63997.wav,홀가분함 만족
drama_a_31589.wav,싫음 지루함
drama_a_49643.wav,분노
flagship_a_44075.wav,불안 싫음 분노 억울함
studio_a_01727.wav,슬픔 안타까움 괴로움
flagship_a_24251.wav,싫음 짜증남 분노
drama_a_17729.wav,싫음 짜증남 분노
drama_a_64334.wav,당황 놀람
studio_a_02912.wav,당황 놀람
drama_a_44714.wav,당황 놀람
drama_a_19723.wav,싫음 짜증남 분노 억울함
drama_a_32503.wav,싫음 미워함 짜증남
flagship_a_43883.wav,중립
flagship_a_24557.wav,황홀함 즐거움 만족
studio_a_06308.wav,고마움 즐거움 설렘
drama_a_33980.wav,슬픔 외로움 실망
drama_a_19955.wav,슬픔 괴로움
drama_a_09766.wav,중립
drama_a_01898.wav,불안 싫음
drama_a_40311.wav,싫음
drama_a_59106.wav,당황
drama_a_31591.wav,중립
flagship_a_24626.wav,행복 기쁨 황홀함 감동 자신감 즐거움 홀가분함 만족
flagship_a_16236.wav,슬픔 싫음
drama_a_62236.wav,중립
flagship_a_10719.wav,중립
flagship_a_33319.wav,중립
drama_a_46326.wav,싫음 짜증남 분노
flagship_a_17289.wav,놀람
drama_a_36571.wav,당황 싫음
drama_a_14971.wav,중립
drama_a_21313.wav,슬픔 안타까움 실망 괴로움 후회 미워함
drama_a_41143.wav,행복 기쁨 즐거움 만족
flagship_a_25196.wav,행복 만족 지루함
flagship_a_29742.wav,행복 기쁨 사랑 황홀함 감동 고마움 즐거움 설렘 만족
flagship_a_23472.wav,중립
drama_a_36871.wav,놀람
flagship_a_19074.wav,중립
drama_a_05791.wav,중립
flagship_a_08135.wav,행복 기쁨 사랑 감동 자신감 고마움 즐거움 홀가분함 만족
drama_a_62766.wav,슬픔 안타까움 괴로움 싫음
drama_a_33568.wav,안타까움 두려움 불안 당황
flagship_a_13934.wav,중립
drama_a_39688.wav,슬픔 안타까움 괴로움 부러움 두려움 불안 억울함
drama_a_57087.wav,자신감 안타까움 싫음 미워함 분노
drama_a_53788.wav,슬픔 안타까움 불안
flagship_a_25579.wav,싫음 짜증남
flagship_a_44910.wav,분노
drama_a_43733.wav,놀람
drama_a_07362.wav,행복 기쁨 사랑 즐거움 만족
drama_a_06733.wav,당황 싫음 미워함 짜증남
flagship_a_10625.wav,지루함 중립 무관심
flagship_a_00394.wav,행복 기쁨 감동 자신감 고마움 즐거움 만족
flagship_a_20867.wav,슬픔
flagship_a_26736.wav,슬픔
studio_a_07751.wav,분노
drama_a_23768.wav,싫음
studio_a_00466.wav,두려움 불안 당황 미워함 분노 억울함
flagship_a_44705.wav,싫음 짜증남
studio_a_00174.wav,중립
flagship_a_31784.wav,싫음 미워함 짜증남
flagship_a_07020.wav,슬픔 억울함
flagship_a_03074.wav,중립
flagship_a_17251.wav,슬픔
flagship_a_22143.wav,놀람
flagship_a_18706.wav,슬픔
drama_a_53541.wav,짜증남
flagship_a_22725.wav,기쁨 즐거움 만족
flagship_a_00926.wav,싫음
drama_a_08468.wav,중립
drama_a_19401.wav,미안함 안타까움
drama_a_25163.wav,안타까움
drama_a_19030.wav,안타까움 실망 싫음 미워함
drama_a_07917.wav,지루함 중립
drama_a_57713.wav,슬픔 두려움
flagship_a_05399.wav,중립
drama_a_23783.wav,슬픔
drama_a_51552.wav,싫음 미워함 짜증남 분노
drama_a_53947.wav,짜증남 분노
studio_a_06446.wav,놀람
drama_a_36222.wav,자신감 슬픔 안타까움 괴로움 싫음 분노 억울함
studio_a_05085.wav,싫음 미워함 짜증남 분노
flagship_a_44010.wav,행복
flagship_a_26796.wav,슬픔
drama_a_44082.wav,슬픔 안타까움 괴로움 싫음 짜증남 분노
studio_a_06266.wav,중립
flagship_a_04623.wav,중립
drama_a_10488.wav,실망 싫음 미워함 짜증남
drama_a_07253.wav,슬픔
drama_a_52163.wav,기쁨
drama_a_23605.wav,사랑 감동 자신감 고마움 설렘 만족
drama_a_26800.wav,두려움 불안 당황 억울함
flagship_a_27910.wav,두려움 불안 당황 놀람
flagship_a_41145.wav,놀람
flagship_a_36315.wav,행복 기쁨 자신감 고마움 즐거움 설렘
drama_a_62052.wav,행복 기쁨 황홀함 즐거움 만족
drama_a_57550.wav,두려움 불안 당황
flagship_a_29290.wav,바람 무관심
studio_a_10195.wav,싫음 짜증남 분노
drama_a_40462.wav,싫음 짜증남
drama_a_40022.wav,두려움 불안 당황
drama_a_17252.wav,자신감 짜증남
drama_a_14792.wav,홀가분함 만족
drama_a_57527.wav,안타까움
flagship_a_27842.wav,그리움 슬픔
drama_a_24107.wav,슬픔 미안함
drama_a_21272.wav,불안 당황
flagship_a_35316.wav,중립
studio_a_02855.wav,행복 기쁨 만족
drama_a_51377.wav,슬픔 안타까움
flagship_a_09129.wav,싫음 짜증남
flagship_a_15370.wav,만족
flagship_a_20605.wav,자신감 만족
flagship_a_41469.wav,행복 기쁨
flagship_a_33940.wav,두려움 짜증남
studio_a_06755.wav,자신감 홀가분함
drama_a_32237.wav,감동 설렘
drama_a_48307.wav,싫음
drama_a_22632.wav,행복 기쁨 사랑 황홀함 감동 고마움 만족
studio_a_04205.wav,행복 기쁨 즐거움 만족
drama_a_63532.wav,자신감 홀가분함 만족
drama_a_40957.wav,싫음 짜증남
flagship_a_02948.wav,중립
flagship_a_24585.wav,행복 만족
drama_a_24902.wav,행복 기쁨 즐거움
drama_a_12917.wav,사랑
flagship_a_13980.wav,싫음 짜증남
flagship_a_27815.wav,중립
flagship_a_03342.wav,싫음 짜증남
studio_a_05229.wav,싫음 분노
drama_a_17258.wav,두려움 놀람
studio_a_02756.wav,중립
drama_a_03098.wav,싫음
drama_a_25872.wav,슬픔 안타까움 괴로움 후회 싫음 짜증남 분노 억울함
drama_a_00087.wav,싫음 미워함 짜증남 분노
flagship_a_33840.wav,지루함 중립 무관심
flagship_a_21663.wav,중립
drama_a_57741.wav,기쁨 고마움 즐거움
studio_a_09354.wav,싫음 짜증남 분노
flagship_a_32996.wav,놀람
drama_a_21683.wav,기쁨 만족
flagship_a_26035.wav,싫음 지루함 짜증남 중립 무관심
flagship_a_03627.wav,싫음 짜증남
drama_a_42042.wav,당황 중립
flagship_a_26104.wav,놀람
drama_a_05082.wav,싫음 중립
drama_a_47247.wav,행복 기쁨 황홀함 감동 즐거움 설렘 만족
drama_a_00756.wav,싫음 미워함 짜증남
flagship_a_12395.wav,중립 무관심
drama_a_26393.wav,슬픔 괴로움
drama_a_10373.wav,슬픔 짜증남
drama_a_42743.wav,슬픔 괴로움
drama_a_31028.wav,만족
drama_a_14427.wav,슬픔 안타까움 괴로움
flagship_a_14821.wav,놀람
drama_a_18803.wav,슬픔
drama_a_04287.wav,중립
flagship_a_31703.wav,슬픔
flagship_a_42206.wav,슬픔 괴로움
studio_a_00403.wav,실망 싫음 미워함 짜증남
drama_a_02117.wav,자신감 홀가분함
flagship_a_29196.wav,행복 즐거움
flagship_a_08788.wav,싫음
flagship_a_11019.wav,중립
drama_a_53811.wav,짜증남
drama_a_61711.wav,짜증남
flagship_a_24985.wav,싫음 지루함 짜증남 분노
flagship_a_05479.wav,기쁨 중립
flagship_a_00412.wav,즐거움
drama_a_29987.wav,중립
flagship_a_22897.wav,안타까움 괴로움 싫음 미워함 짜증남 분노
drama_a_25037.wav,슬픔 안타까움 괴로움
flagship_a_17647.wav,싫음 짜증남 분노
flagship_a_43956.wav,행복 기쁨 즐거움 만족
flagship_a_00092.wav,행복 기쁨 황홀함 감동 자신감 고마움 즐거움 설렘 만족
studio_a_08612.wav,행복 기쁨 만족
flagship_a_37172.wav,슬픔 안타까움 괴로움 후회 두려움 억울함
studio_a_00665.wav,싫음 미워함 짜증남 분노
drama_a_39944.wav,싫음 짜증남 분노
drama_a_34707.wav,당황 싫음 짜증남
flagship_a_36709.wav,싫음 짜증남
drama_a_23669.wav,행복 기쁨 만족
drama_a_64574.wav,불안 당황 놀람
drama_a_18437.wav,놀람
studio_a_10142.wav,슬픔 안타까움 괴로움
studio_a_10256.wav,중립
flagship_a_40059.wav,행복 기쁨 즐거움
flagship_a_13585.wav,슬픔 안타까움
flagship_a_29732.wav,행복 기쁨 자신감 만족
drama_a_53342.wav,행복 기쁨 즐거움
flagship_a_11506.wav,중립
drama_a_58388.wav,분노
drama_a_45121.wav,싫음
