audio,7 emotion label,34 multi emotion label,7 ox,top 1 ox,top 3 ox,top 5 ox,7 emotion,7 prob,top 1 emotion,top 1 prob,top 3 emotion,top 3 prob,top 5 emotion,top 5 prob,top 1 ox (mapping 7),top 1 emotion (mapping 7),top 3 ox (mapping 7),top 3 emotion (mapping 7),top 5 ox (mapping 7),top 5 emotion (mapping 7)
studio_a_07602.wav,두려움,싫음,X,O,O,O,0.6583910584449768,중립,싫음,0.2558,싫음 짜증남 괴로움,0.2558 0.1841 0.1170,싫음 짜증남 슬픔 괴로움 중립,0.2558 0.1841 0.0887 0.1170 0.0699,X,싫음,X,싫음 슬픔,X,싫음 슬픔 중립
studio_a_05926.wav,두려움,분노 억울함 괴로움,O,X,X,X,0.9033232927322388,두려움,놀람,0.3679,싫음 당황 놀람,0.0916 0.2761 0.3679,싫음 불안 당황 놀람 중립,0.0916 0.0593 0.2761 0.3679 0.0589,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_04143.wav,두려움,싫음 괴로움,X,O,O,O,0.6976071000099182,중립,싫음,0.2135,싫음 불안 중립,0.2135 0.1010 0.1440,싫음 짜증남 불안 당황 중립,0.2135 0.0929 0.1010 0.1008 0.1440,X,싫음,O,싫음 두려움 중립,O,싫음 두려움 중립
studio_a_02847.wav,두려움,싫음 불안,X,O,O,O,0.5728464126586914,중립,싫음,0.2486,싫음 짜증남 중립,0.2486 0.1574 0.1671,싫음 짜증남 불안 안타까움 중립,0.2486 0.1574 0.0608 0.0694 0.1671,X,싫음,X,싫음 중립,O,싫음 두려움 슬픔 중립
studio_a_04729.wav,두려움,당황 미안함,X,X,X,X,0.6577636003494263,행복,즐거움,0.2851,행복 기쁨 즐거움,0.1486 0.1883 0.2851,행복 기쁨 즐거움 만족 중립,0.1486 0.1883 0.2851 0.0678 0.0428,X,행복,X,행복,X,행복 중립
studio_a_04353.wav,두려움,당황 놀람,O,O,O,O,0.8954103589057922,두려움,당황,0.2648,불안 당황 놀람,0.1011 0.2648 0.2335,싫음 짜증남 불안 당황 놀람,0.0766 0.0633 0.1011 0.2648 0.2335,O,두려움,O,두려움 놀람,O,싫음 두려움 놀람
studio_a_02472.wav,두려움,당황,O,X,O,O,0.7385525107383728,두려움,놀람,0.2755,싫음 당황 놀람,0.1371 0.2235 0.2755,싫음 짜증남 불안 당황 놀람,0.1371 0.0754 0.0687 0.2235 0.2755,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람
studio_a_01774.wav,두려움,싫음 두려움 불안,O,O,O,O,0.6395285129547119,두려움,싫음,0.3269,싫음 짜증남 중립,0.3269 0.1727 0.1128,싫음 짜증남 불안 괴로움 중립,0.3269 0.1727 0.0562 0.0619 0.1128,X,싫음,X,싫음 중립,O,싫음 두려움 슬픔 중립
studio_a_08342.wav,두려움,당황 놀람,O,X,O,O,0.9387469291687012,두려움,싫음,0.1853,싫음 당황 놀람,0.1853 0.1563 0.1417,싫음 불안 당황 놀람 중립,0.1853 0.1025 0.1563 0.1417 0.1315,X,싫음,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_09946.wav,두려움,두려움 불안 슬픔 안타까움,O,O,O,O,0.9108102321624756,두려움,슬픔,0.2088,싫음 슬픔 괴로움,0.1423 0.2088 0.1306,싫음 짜증남 슬픔 안타까움 괴로움,0.1423 0.1126 0.2088 0.0885 0.1306,X,슬픔,X,싫음 슬픔,X,싫음 슬픔
studio_a_03289.wav,두려움,싫음,O,O,O,O,0.7887027263641357,두려움,싫음,0.2275,싫음 짜증남 중립,0.2275 0.1127 0.1348,싫음 짜증남 불안 당황 중립,0.2275 0.1127 0.0890 0.1067 0.1348,X,싫음,X,싫음 중립,O,싫음 두려움 중립
studio_a_04736.wav,두려움,놀람,O,O,O,O,0.8832495808601379,두려움,놀람,0.4488,불안 당황 놀람,0.0907 0.2669 0.4488,싫음 두려움 불안 당황 놀람,0.0339 0.0356 0.0907 0.2669 0.4488,X,놀람,O,두려움 놀람,O,싫음 두려움 놀람
studio_a_10173.wav,두려움,불안 안타까움,O,O,O,O,0.4841371178627014,두려움,불안,0.2022,불안 슬픔 괴로움,0.2022 0.1074 0.2010,불안 당황 슬픔 안타까움 괴로움,0.2022 0.0951 0.1074 0.0776 0.2010,O,두려움,O,두려움 슬픔,O,두려움 슬픔
studio_a_00195.wav,두려움,싫음 안타까움,O,O,O,O,0.682849645614624,두려움,싫음,0.3287,분노 싫음 짜증남,0.0990 0.3287 0.2436,분노 싫음 짜증남 당황 중립,0.0990 0.3287 0.2436 0.0568 0.0776,X,싫음,X,분노 싫음,O,분노 싫음 두려움 중립
studio_a_05789.wav,두려움,중립,O,X,O,O,0.9372097253799438,두려움,싫음,0.2525,싫음 짜증남 중립,0.2525 0.1559 0.1099,분노 싫음 짜증남 당황 중립,0.0995 0.2525 0.1559 0.0972 0.1099,X,싫음,X,싫음 중립,O,분노 싫음 두려움 중립
studio_a_02943.wav,두려움,두려움 불안,O,X,X,O,0.9506072402000427,두려움,싫음,0.2389,싫음 짜증남 당황,0.2389 0.1431 0.1728,싫음 짜증남 불안 당황 놀람,0.2389 0.1431 0.0674 0.1728 0.0811,X,싫음,O,싫음 두려움,O,싫음 두려움 놀람
studio_a_01689.wav,두려움,불안,O,X,O,O,0.3986912667751312,두려움,당황,0.1679,싫음 불안 당황,0.1590 0.1245 0.1679,싫음 짜증남 불안 당황 놀람,0.1590 0.0954 0.1245 0.1679 0.1194,O,두려움,O,싫음 두려움,O,싫음 두려움 놀람
studio_a_06555.wav,두려움,중립,X,X,X,O,0.39118441939353943,싫음,놀람,0.2519,싫음 당황 놀람,0.1118 0.2439 0.2519,싫음 불안 당황 놀람 중립,0.1118 0.0802 0.2439 0.2519 0.0876,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_03366.wav,두려움,두려움 불안,O,X,O,O,0.7713680863380432,두려움,놀람,0.2894,불안 당황 놀람,0.1198 0.2403 0.2894,싫음 불안 당황 놀람 중립,0.0781 0.1198 0.2403 0.2894 0.0854,X,놀람,O,두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_05667.wav,두려움,싫음,X,O,O,O,0.4514763355255127,슬픔,싫음,0.2007,싫음 짜증남 괴로움,0.2007 0.1260 0.1741,싫음 짜증남 불안 슬픔 괴로움,0.2007 0.1260 0.0933 0.0999 0.1741,X,싫음,X,싫음 슬픔,O,싫음 두려움 슬픔
studio_a_03926.wav,두려움,분노 싫음,O,O,O,O,0.8433259725570679,두려움,싫음,0.3170,싫음 짜증남 당황,0.3170 0.1478 0.0939,싫음 짜증남 불안 당황 괴로움,0.3170 0.1478 0.0588 0.0939 0.0667,X,싫음,O,싫음 두려움,O,싫음 두려움 슬픔
studio_a_04148.wav,두려움,싫음,O,X,X,O,0.9464085698127747,두려움,놀람,0.3167,불안 당황 놀람,0.1096 0.2367 0.3167,싫음 불안 당황 놀람 중립,0.0707 0.1096 0.2367 0.3167 0.1059,X,놀람,O,두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_00040.wav,두려움,중립,O,X,X,X,0.7765935063362122,두려움,놀람,0.2264,싫음 당황 놀람,0.1660 0.2232 0.2264,싫음 짜증남 불안 당황 놀람,0.1660 0.0973 0.0654 0.2232 0.2264,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람
studio_a_04043.wav,두려움,싫음 짜증남,O,O,O,O,0.7976797819137573,두려움,싫음,0.2736,싫음 짜증남 당황,0.2736 0.1510 0.1592,싫음 짜증남 불안 당황 놀람,0.2736 0.1510 0.0650 0.1592 0.0670,X,싫음,O,싫음 두려움,O,싫음 두려움 놀람
studio_a_06975.wav,두려움,분노 미워함 짜증남,O,X,X,O,0.9325060248374939,두려움,놀람,0.4209,싫음 당황 놀람,0.1249 0.1746 0.4209,분노 싫음 짜증남 당황 놀람,0.0485 0.1249 0.0679 0.1746 0.4209,X,놀람,O,싫음 두려움 놀람,O,분노 싫음 두려움 놀람
studio_a_09322.wav,두려움,당황 놀람,O,O,O,O,0.9224667549133301,두려움,놀람,0.6811,불안 당황 놀람,0.0441 0.2027 0.6811,두려움 불안 당황 놀람 중립,0.0233 0.0441 0.2027 0.6811 0.0105,X,놀람,O,두려움 놀람,O,두려움 놀람 중립
studio_a_02007.wav,두려움,놀람,X,X,O,O,0.56275475025177,싫음,당황,0.1870,싫음 당황 놀람,0.1661 0.1870 0.1548,싫음 짜증남 당황 놀람 중립,0.1661 0.0922 0.1870 0.1548 0.1182,O,두려움,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_03039.wav,두려움,분노 싫음,X,O,O,O,0.7627480030059814,싫음,싫음,0.2768,싫음 짜증남 당황,0.2768 0.1494 0.1205,싫음 짜증남 불안 당황 중립,0.2768 0.1494 0.0750 0.1205 0.0919,X,싫음,O,싫음 두려움,O,싫음 두려움 중립
studio_a_07924.wav,두려움,짜증남,X,X,X,X,0.4170870780944824,싫음,놀람,0.2736,당황 괴로움 놀람,0.1986 0.0849 0.2736,싫음 불안 당황 괴로움 놀람,0.0671 0.0726 0.1986 0.0849 0.2736,X,놀람,O,두려움 슬픔 놀람,O,싫음 두려움 슬픔 놀람
studio_a_04050.wav,두려움,싫음 짜증남,X,O,O,O,0.3427807688713074,행복,싫음,0.2298,싫음 슬픔 괴로움,0.2298 0.1305 0.1058,싫음 짜증남 슬픔 안타까움 괴로움,0.2298 0.0845 0.1305 0.0924 0.1058,X,싫음,X,싫음 슬픔,X,싫음 슬픔
studio_a_07913.wav,두려움,당황 놀람,O,O,O,O,0.8120599985122681,두려움,놀람,0.2320,싫음 당황 놀람,0.1840 0.1692 0.2320,분노 싫음 짜증남 당황 놀람,0.1248 0.1840 0.1235 0.1692 0.2320,X,놀람,O,싫음 두려움 놀람,O,분노 싫음 두려움 놀람
studio_a_06143.wav,두려움,싫음 짜증남,X,X,X,X,0.5772836208343506,행복,즐거움,0.2496,행복 기쁨 즐거움,0.2379 0.2482 0.2496,행복 기쁨 즐거움 만족 중립,0.2379 0.2482 0.2496 0.0828 0.0523,X,행복,X,행복,X,행복 중립
studio_a_05798.wav,두려움,싫음,O,O,O,O,0.42001888155937195,두려움,싫음,0.1669,싫음 당황 중립,0.1669 0.1330 0.1144,싫음 불안 당황 안타까움 중립,0.1669 0.1005 0.1330 0.0932 0.1144,X,싫음,O,싫음 두려움 중립,O,싫음 두려움 슬픔 중립
studio_a_05413.wav,두려움,중립,X,X,O,O,0.43872496485710144,싫음,싫음,0.2723,싫음 짜증남 중립,0.2723 0.1469 0.1127,싫음 짜증남 슬픔 괴로움 중립,0.2723 0.1469 0.0732 0.0936 0.1127,X,싫음,X,싫음 중립,X,싫음 슬픔 중립
studio_a_05191.wav,두려움,두려움 불안,O,X,O,O,0.6876636147499084,두려움,당황,0.2502,불안 당황 놀람,0.1325 0.2502 0.2169,싫음 불안 당황 놀람 중립,0.1050 0.1325 0.2502 0.2169 0.0471,O,두려움,O,두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_07494.wav,두려움,두려움 불안,O,O,O,O,0.8718369007110596,두려움,불안,0.1953,불안 당황 괴로움,0.1953 0.1388 0.1761,불안 당황 슬픔 안타까움 괴로움,0.1953 0.1388 0.1129 0.0733 0.1761,O,두려움,O,두려움 슬픔,O,두려움 슬픔
studio_a_07184.wav,두려움,중립,O,X,X,O,0.9344918131828308,두려움,싫음,0.3210,분노 싫음 짜증남,0.1124 0.3210 0.2140,분노 싫음 짜증남 당황 중립,0.1124 0.3210 0.2140 0.0630 0.0725,X,싫음,X,분노 싫음,O,분노 싫음 두려움 중립
studio_a_08547.wav,두려움,당황,O,X,X,X,0.5114728808403015,두려움,싫음,0.2742,싫음 슬픔 괴로움,0.2742 0.1590 0.1353,싫음 짜증남 슬픔 안타까움 괴로움,0.2742 0.1185 0.1590 0.0887 0.1353,X,싫음,X,싫음 슬픔,X,싫음 슬픔
studio_a_07922.wav,두려움,당황 놀람,O,O,O,O,0.8753457069396973,두려움,당황,0.1970,싫음 당황 놀람,0.1248 0.1970 0.1639,싫음 불안 당황 괴로움 놀람,0.1248 0.0892 0.1970 0.0952 0.1639,O,두려움,O,싫음 두려움 놀람,O,싫음 두려움 슬픔 놀람
studio_a_05800.wav,두려움,싫음,X,X,O,O,0.7601137757301331,중립,당황,0.2080,싫음 당황 놀람,0.1336 0.2080 0.1854,싫음 불안 당황 놀람 중립,0.1336 0.0773 0.2080 0.1854 0.0946,O,두려움,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_09123.wav,두려움,싫음 불안,O,X,O,O,0.6140882968902588,두려움,괴로움,0.2241,싫음 짜증남 괴로움,0.2211 0.1447 0.2241,싫음 짜증남 불안 슬픔 괴로움,0.2211 0.1447 0.0650 0.0905 0.2241,X,슬픔,X,싫음 슬픔,O,싫음 두려움 슬픔
studio_a_01384.wav,두려움,중립,O,X,X,O,0.8132978081703186,두려움,놀람,0.2413,싫음 당황 놀람,0.1221 0.2194 0.2413,싫음 짜증남 당황 놀람 중립,0.1221 0.0793 0.2194 0.2413 0.0969,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_03037.wav,두려움,분노 짜증남,X,X,O,O,0.5013226866722107,중립,싫음,0.3643,싫음 짜증남 중립,0.3643 0.1891 0.0649,싫음 짜증남 당황 괴로움 중립,0.3643 0.1891 0.0600 0.0603 0.0649,X,싫음,X,싫음 중립,O,싫음 두려움 슬픔 중립
studio_a_03722.wav,두려움,당황 놀람,X,X,O,O,0.6188405752182007,중립,싫음,0.2180,싫음 당황 놀람,0.2180 0.1378 0.1334,싫음 짜증남 당황 놀람 중립,0.2180 0.1231 0.1378 0.1334 0.1185,X,싫음,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_03810.wav,두려움,슬픔 안타까움,O,X,X,X,0.8829898238182068,두려움,놀람,0.3972,싫음 당황 놀람,0.1145 0.2064 0.3972,싫음 짜증남 당황 놀람 중립,0.1145 0.0622 0.2064 0.3972 0.0928,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_01265.wav,두려움,놀람,O,X,X,X,0.8949768543243408,두려움,당황,0.1641,싫음 짜증남 당황,0.1601 0.1256 0.1641,싫음 짜증남 불안 당황 괴로움,0.1601 0.1256 0.1163 0.1641 0.1115,O,두려움,O,싫음 두려움,O,싫음 두려움 슬픔
studio_a_10058.wav,두려움,미워함 짜증남,O,X,X,O,0.8689730763435364,두려움,당황,0.2048,싫음 당황 놀람,0.1452 0.2048 0.1631,싫음 짜증남 불안 당황 놀람,0.1452 0.0990 0.1174 0.2048 0.1631,O,두려움,O,싫음 두려움 놀람,O,싫음 두려움 놀람
studio_a_04364.wav,두려움,싫음 당황,X,O,O,O,0.42470136284828186,놀람,싫음,0.2373,싫음 짜증남 놀람,0.2373 0.1940 0.1619,분노 싫음 짜증남 당황 놀람,0.1143 0.2373 0.1940 0.1579 0.1619,X,싫음,X,싫음 놀람,O,분노 싫음 두려움 놀람
studio_a_08025.wav,두려움,싫음 짜증남,O,X,X,O,0.9318393468856812,두려움,놀람,0.3998,불안 당황 놀람,0.0877 0.2759 0.3998,싫음 불안 당황 놀람 중립,0.0525 0.0877 0.2759 0.3998 0.0414,X,놀람,O,두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_01847.wav,두려움,두려움 불안 당황,O,X,X,X,0.5144152045249939,두려움,싫음,0.1449,싫음 즐거움 중립,0.1449 0.0890 0.0971,싫음 짜증남 기쁨 즐거움 중립,0.1449 0.0742 0.0766 0.0890 0.0971,X,싫음,X,싫음 행복 중립,X,싫음 행복 중립
studio_a_03632.wav,두려움,당황 놀람,O,X,O,O,0.8252397775650024,두려움,싫음,0.1987,싫음 짜증남 당황,0.1987 0.1356 0.1942,싫음 짜증남 불안 당황 놀람,0.1987 0.1356 0.0695 0.1942 0.1266,X,싫음,O,싫음 두려움,O,싫음 두려움 놀람
studio_a_04052.wav,두려움,싫음 당황,X,O,O,O,0.2732093930244446,중립,싫음,0.3417,싫음 짜증남 괴로움,0.3417 0.1483 0.0996,싫음 짜증남 슬픔 안타까움 괴로움,0.3417 0.1483 0.0687 0.0873 0.0996,X,싫음,X,싫음 슬픔,X,싫음 슬픔
studio_a_06873.wav,두려움,당황 놀람,O,O,O,O,0.319816917181015,두려움,놀람,0.2701,싫음 당황 놀람,0.1258 0.2103 0.2701,싫음 불안 당황 놀람 중립,0.1258 0.0720 0.2103 0.2701 0.1017,X,놀람,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_04460.wav,두려움,안타까움,X,X,O,O,0.3664870858192444,중립,싫음,0.1990,싫음 안타까움 중립,0.1990 0.1118 0.1420,싫음 짜증남 불안 안타까움 중립,0.1990 0.1032 0.0874 0.1118 0.1420,X,싫음,X,싫음 슬픔 중립,O,싫음 두려움 슬픔 중립
studio_a_01510.wav,두려움,싫음,O,O,O,O,0.8031029105186462,두려움,싫음,0.1956,싫음 당황 놀람,0.1956 0.1524 0.1582,싫음 짜증남 당황 놀람 중립,0.1956 0.1084 0.1524 0.1582 0.1334,X,싫음,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_07604.wav,두려움,놀람,O,X,O,O,0.9520622491836548,두려움,당황,0.1971,당황 괴로움 놀람,0.1971 0.1527 0.1812,두려움 불안 당황 괴로움 놀람,0.0846 0.1295 0.1971 0.1527 0.1812,O,두려움,O,두려움 슬픔 놀람,O,두려움 슬픔 놀람
studio_a_06865.wav,두려움,분노 싫음 짜증남,X,O,O,O,0.7208410501480103,놀람,싫음,0.3662,분노 싫음 짜증남,0.1171 0.3662 0.2338,분노 싫음 짜증남 당황 중립,0.1171 0.3662 0.2338 0.0609 0.0617,X,싫음,X,분노 싫음,O,분노 싫음 두려움 중립
studio_a_02658.wav,두려움,중립,O,X,X,O,0.7036482095718384,두려움,놀람,0.3058,불안 당황 놀람,0.1142 0.2926 0.3058,싫음 불안 당황 놀람 중립,0.0500 0.1142 0.2926 0.3058 0.0481,X,놀람,O,두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_02576.wav,두려움,중립,X,X,O,O,0.9132609963417053,중립,싫음,0.2982,싫음 짜증남 중립,0.2982 0.1665 0.1749,싫음 짜증남 당황 안타까움 중립,0.2982 0.1665 0.0633 0.0478 0.1749,X,싫음,X,싫음 중립,O,싫음 두려움 슬픔 중립
studio_a_06770.wav,두려움,분노 싫음 미워함 슬픔,O,X,O,O,0.9282644391059875,두려움,괴로움,0.3152,불안 슬픔 괴로움,0.1114 0.1228 0.3152,싫음 불안 슬픔 안타까움 괴로움,0.0657 0.1114 0.1228 0.0608 0.3152,X,슬픔,O,두려움 슬픔,O,싫음 두려움 슬픔
studio_a_01501.wav,두려움,당황 놀람,O,X,X,O,0.8925410509109497,두려움,싫음,0.2785,분노 싫음 짜증남,0.1244 0.2785 0.2105,분노 싫음 짜증남 당황 중립,0.1244 0.2785 0.2105 0.0858 0.0808,X,싫음,X,분노 싫음,O,분노 싫음 두려움 중립
studio_a_09635.wav,두려움,슬픔 괴로움,X,X,X,X,0.3942926526069641,중립,싫음,0.1848,싫음 짜증남 중립,0.1848 0.1116 0.1696,싫음 짜증남 불안 당황 중립,0.1848 0.1116 0.0831 0.1116 0.1696,X,싫음,X,싫음 중립,O,싫음 두려움 중립
studio_a_06553.wav,두려움,중립,O,X,O,O,0.4738215208053589,두려움,놀람,0.1688,싫음 놀람 중립,0.1569 0.1688 0.1669,싫음 불안 당황 놀람 중립,0.1569 0.0967 0.1341 0.1688 0.1669,X,놀람,X,싫음 놀람 중립,O,싫음 두려움 놀람 중립
studio_a_00739.wav,두려움,싫음,O,X,O,O,0.5634152293205261,두려움,당황,0.2049,싫음 당황 놀람,0.1742 0.2049 0.1917,싫음 짜증남 당황 놀람 중립,0.1742 0.1171 0.2049 0.1917 0.0838,O,두려움,O,싫음 두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_06456.wav,두려움,두려움 불안 당황 놀람,O,X,O,O,0.8155486583709717,두려움,싫음,0.2307,싫음 짜증남 당황,0.2307 0.2028 0.1319,싫음 짜증남 당황 놀람 중립,0.2307 0.2028 0.1319 0.0537 0.0497,X,싫음,O,싫음 두려움,O,싫음 두려움 놀람 중립
studio_a_09642.wav,두려움,당황 놀람,O,O,O,O,0.46347764134407043,두려움,놀람,0.5143,불안 당황 놀람,0.0671 0.2157 0.5143,싫음 불안 당황 놀람 중립,0.0308 0.0671 0.2157 0.5143 0.0591,X,놀람,O,두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_02578.wav,두려움,중립,O,X,X,X,0.5263171792030334,두려움,당황,0.1410,불안 당황 괴로움,0.1340 0.1410 0.1357,싫음 불안 당황 안타까움 괴로움,0.1096 0.1340 0.1410 0.1045 0.1357,O,두려움,O,두려움 슬픔,O,싫음 두려움 슬픔
studio_a_02456.wav,두려움,중립,O,X,X,X,0.9494621157646179,두려움,싫음,0.3374,싫음 짜증남 괴로움,0.3374 0.2034 0.1438,싫음 짜증남 슬픔 안타까움 괴로움,0.3374 0.2034 0.0670 0.0489 0.1438,X,싫음,X,싫음 슬픔,X,싫음 슬픔
studio_a_05404.wav,두려움,중립,X,X,X,O,0.5108508467674255,분노,싫음,0.3819,분노 싫음 짜증남,0.0824 0.3819 0.2806,분노 싫음 짜증남 안타까움 중립,0.0824 0.3819 0.2806 0.0308 0.0418,X,싫음,X,분노 싫음,X,분노 싫음 슬픔 중립
studio_a_01604.wav,두려움,당황,X,X,X,O,0.39088907837867737,슬픔,싫음,0.2496,싫음 짜증남 중립,0.2496 0.1449 0.1209,싫음 짜증남 불안 당황 중립,0.2496 0.1449 0.0632 0.0668 0.1209,X,싫음,X,싫음 중립,O,싫음 두려움 중립
studio_a_01606.wav,두려움,싫음 슬픔 실망,X,O,O,O,0.4537460207939148,슬픔,싫음,0.1740,싫음 당황 안타까움,0.1740 0.1036 0.1468,싫음 당황 슬픔 안타까움 중립,0.1740 0.1036 0.0929 0.1468 0.0803,X,싫음,O,싫음 두려움 슬픔,O,싫음 두려움 슬픔 중립
studio_a_00547.wav,두려움,당황,O,X,O,O,0.7727408409118652,두려움,싫음,0.2699,싫음 짜증남 당황,0.2699 0.1751 0.1002,분노 싫음 짜증남 당황 중립,0.0650 0.2699 0.1751 0.1002 0.0640,X,싫음,O,싫음 두려움,O,분노 싫음 두려움 중립
studio_a_10275.wav,두려움,슬픔 안타까움,O,X,O,O,0.5168419480323792,두려움,괴로움,0.1631,슬픔 괴로움 중립,0.1187 0.1631 0.1204,싫음 슬픔 안타까움 괴로움 중립,0.1126 0.1187 0.0660 0.1631 0.1204,X,슬픔,X,슬픔 중립,X,싫음 슬픔 중립
studio_a_01108.wav,두려움,중립,X,X,X,X,0.33077892661094666,싫음,싫음,0.2132,싫음 짜증남 당황,0.2132 0.1191 0.1597,싫음 짜증남 불안 당황 놀람,0.2132 0.1191 0.0953 0.1597 0.1077,X,싫음,O,싫음 두려움,O,싫음 두려움 놀람
studio_a_10267.wav,두려움,분노 싫음 짜증남,O,O,O,O,0.8813092112541199,두려움,싫음,0.2654,싫음 짜증남 중립,0.2654 0.1406 0.1061,싫음 짜증남 불안 슬픔 중립,0.2654 0.1406 0.0643 0.0774 0.1061,X,싫음,X,싫음 중립,O,싫음 두려움 슬픔 중립
studio_a_05415.wav,두려움,슬픔 안타까움,O,X,X,X,0.43892902135849,두려움,즐거움,0.1909,행복 기쁨 즐거움,0.1149 0.1406 0.1909,행복 기쁨 즐거움 설렘 만족,0.1149 0.1406 0.1909 0.0472 0.1059,X,행복,X,행복,X,행복
studio_a_00650.wav,두려움,싫음 짜증남,O,X,X,O,0.9348710179328918,두려움,놀람,0.2445,불안 당황 놀람,0.1053 0.2344 0.2445,싫음 불안 당황 놀람 중립,0.0823 0.1053 0.2344 0.2445 0.0550,X,놀람,O,두려움 놀람,O,싫음 두려움 놀람 중립
studio_a_09224.wav,두려움,당황,X,X,X,X,0.4664649963378906,슬픔,싫음,0.2654,싫음 짜증남 중립,0.2654 0.1926 0.1606,싫음 짜증남 불안 안타까움 중립,0.2654 0.1926 0.0460 0.0594 0.1606,X,싫음,X,싫음 중립,O,싫음 두려움 슬픔 중립
